"subject" "activity" "feature" "mean" "stdev"
"1" "LAYING" "tBodyAccXM" 0.22159824394 0.168930385215445
"1" "SITTING" "tBodyAccXM" 0.261237565425532 0.063329656530637
"1" "STANDING" "tBodyAccXM" 0.278917629056604 0.00799182813175176
"1" "WALKING" "tBodyAccXM" 0.277330758736842 0.0463917265678392
"1" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.289188320408163 0.084156487553055
"1" "WALKING_UPSTAIRS" "tBodyAccXM" 0.255461689622641 0.0499619102720454
"2" "LAYING" "tBodyAccXM" 0.281373403958333 0.0241919322368203
"2" "SITTING" "tBodyAccXM" 0.27708735173913 0.0231347346725389
"2" "STANDING" "tBodyAccXM" 0.277911472222222 0.0140629722535917
"2" "WALKING" "tBodyAccXM" 0.276426586440678 0.0512737908812502
"2" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.27761534806383 0.0802822960127844
"2" "WALKING_UPSTAIRS" "tBodyAccXM" 0.247164790395833 0.0595413279362635
"3" "LAYING" "tBodyAccXM" 0.275516852741936 0.0141075464876616
"3" "SITTING" "tBodyAccXM" 0.257197599134615 0.0866033266328057
"3" "STANDING" "tBodyAccXM" 0.280046513278688 0.0251756660619426
"3" "WALKING" "tBodyAccXM" 0.275567462068966 0.047463858730362
"3" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.292423484693878 0.0808275138338618
"3" "WALKING_UPSTAIRS" "tBodyAccXM" 0.260819873067797 0.0769843087765717
"4" "LAYING" "tBodyAccXM" 0.263559214981481 0.0884184434785351
"4" "SITTING" "tBodyAccXM" 0.27153827992 0.0313351643781847
"4" "STANDING" "tBodyAccXM" 0.280499745892857 0.0284329791902268
"4" "WALKING" "tBodyAccXM" 0.278582015166667 0.0292455288147581
"4" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.279965329555556 0.0788883343333117
"4" "WALKING_UPSTAIRS" "tBodyAccXM" 0.270876696730769 0.0626109467474745
"5" "LAYING" "tBodyAccXM" 0.278334325576923 0.0322119855144363
"5" "SITTING" "tBodyAccXM" 0.273694139545455 0.026634755481345
"5" "STANDING" "tBodyAccXM" 0.282544390892857 0.0348102287811254
"5" "WALKING" "tBodyAccXM" 0.27784234625 0.0507862913828755
"5" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.29354392712766 0.102678100187829
"5" "WALKING_UPSTAIRS" "tBodyAccXM" 0.268459469914894 0.095308616568348
"6" "LAYING" "tBodyAccXM" 0.248656520140351 0.182203788482937
"6" "SITTING" "tBodyAccXM" 0.276778487454545 0.00981744014837546
"6" "STANDING" "tBodyAccXM" 0.280346248596491 0.0247417204923232
"6" "WALKING" "tBodyAccXM" 0.283658868070175 0.0568551347099674
"6" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.277045258145833 0.119287228922879
"6" "WALKING_UPSTAIRS" "tBodyAccXM" 0.268229355098039 0.0665411772113639
"7" "LAYING" "tBodyAccXM" 0.250176694038462 0.123395733951572
"7" "SITTING" "tBodyAccXM" 0.284674637291667 0.0417043335874915
"7" "STANDING" "tBodyAccXM" 0.282723539433962 0.023721836482764
"7" "WALKING" "tBodyAccXM" 0.275592961754386 0.0526629877200494
"7" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.28030708 0.076553503161455
"7" "WALKING_UPSTAIRS" "tBodyAccXM" 0.248706923078431 0.0920143491670802
"8" "LAYING" "tBodyAccXM" 0.261254282907407 0.111711896325732
"8" "SITTING" "tBodyAccXM" 0.267491472934783 0.0479635581947457
"8" "STANDING" "tBodyAccXM" 0.279620986111111 0.0129697418920735
"8" "WALKING" "tBodyAccXM" 0.27468631 0.0511346157706234
"8" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.283484089210526 0.0691283377063774
"8" "WALKING_UPSTAIRS" "tBodyAccXM" 0.258880152048781 0.101342605187527
"9" "LAYING" "tBodyAccXM" 0.2591955368 0.108141068125289
"9" "SITTING" "tBodyAccXM" 0.24832674354 0.103836178379592
"9" "STANDING" "tBodyAccXM" 0.282310057333333 0.0172163769587329
"9" "WALKING" "tBodyAccXM" 0.278502842115385 0.0320063491931807
"9" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.295923445 0.0899794139776364
"9" "WALKING_UPSTAIRS" "tBodyAccXM" 0.262436475714286 0.0601365198113057
"10" "LAYING" "tBodyAccXM" 0.280230574137931 0.0635648494301446
"10" "SITTING" "tBodyAccXM" 0.270612056481481 0.0323332671814204
"10" "STANDING" "tBodyAccXM" 0.276650300681818 0.00992605543413931
"10" "WALKING" "tBodyAccXM" 0.278574076603774 0.0653867875331404
"10" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.290401594315789 0.103866415885419
"10" "WALKING_UPSTAIRS" "tBodyAccXM" 0.267121853404255 0.0794530824649991
"11" "LAYING" "tBodyAccXM" 0.280592970877193 0.0193456331242288
"11" "SITTING" "tBodyAccXM" 0.276590197358491 0.013306383478428
"11" "STANDING" "tBodyAccXM" 0.277715562765957 0.00384727330536198
"11" "WALKING" "tBodyAccXM" 0.271821892881356 0.0494169725110397
"11" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.291605631956522 0.0964392931770526
"11" "WALKING_UPSTAIRS" "tBodyAccXM" 0.263775859277778 0.0641942156020098
"12" "LAYING" "tBodyAccXM" 0.260113433 0.107449232865863
"12" "SITTING" "tBodyAccXM" 0.275007224901961 0.0193511130591657
"12" "STANDING" "tBodyAccXM" 0.277405834918033 0.0138818872558422
"12" "WALKING" "tBodyAccXM" 0.2771286656 0.0654817265520313
"12" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.281521097391304 0.0781335313986907
"12" "WALKING_UPSTAIRS" "tBodyAccXM" 0.272970338653846 0.043740460767246
"13" "LAYING" "tBodyAccXM" 0.276716360483871 0.0367807496462763
"13" "SITTING" "tBodyAccXM" 0.274328499591837 0.0172939531105079
"13" "STANDING" "tBodyAccXM" 0.277758431052632 0.0101473189011037
"13" "WALKING" "tBodyAccXM" 0.275883130350877 0.0442758181763914
"13" "WALKING_DOWNSTAIRS" "tBodyAccXM" 0.294907553404255 0.0681749644004351
"13" "WALKING_UPSTAIRS" "tBodyAccXM" 0.258203939581818 0.0827985635964746
"14" "LAYING" "tBodyAccXM" 0.233275439803922 0.254558886344458
"14" "SITTING" "tBodyAccXM" 0.279990577037037 0.0269056322962773
"14" "STANDING" "tBodyAccXM" 0.280545613833333 0.029076701855683
"14" "WALKING" "tBodyAccXM" 0.271959598644068 0.0488530142249656
